"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","myeloid leukocyte mediated immunity","GO:0002444","false","0.00002612456715389077","4.582950896449657","117","844","18","21026","MILR1,FCGR1A,CD300A,FCGR2A,ITGAM,TYROBP,ELANE,ARG1,FCAR,FES,AZU1,ADGRE2,ANXA3,CD177,NLRP6,CTSG,CHGA,FCGR3B"
"GO:BP","biological process involved in interaction with symbiont","GO:0051702","false","0.00002716770315857703","4.565947076625197","36","844","10","21026","APOL1,GAPDH,ELANE,ARG1,CAMP,AZU1,PF4,NLRP6,CTSG,FN1"
"GO:BP","positive regulation of lipid transport","GO:0032370","false","0.000029715672147984538","4.527014441853382","84","844","15","21026","CETP,MAP2K6,RETN,PLA2G4A,IL1B,ACSL1,ABCA13,CYP19A1,PPARG,NTSR1,TREM2,CES1,ABCA12,APOE,ERFE"
"GO:BP","collagen catabolic process","GO:0030574","false","0.000031143226938509905","4.506636389552746","45","844","11","21026","ADAMTS2,CTSB,PRTN3,MMP9,MMP25,MMP19,MMP14,MMP8,MMP2,FAP,MMP1"
"GO:BP","organ or tissue specific immune response","GO:0002251","false","0.000031143226938509905","4.506636389552746","45","844","11","21026","H2BC12,H2BC6,FFAR2,DEFA3,H2BC12L,NOD2,CAMP,DEFA4,FFAR3,LTF,RNASE2"
"GO:BP","innate immune response in mucosa","GO:0002227","false","0.00003279090331847891","4.484246619291991","29","844","9","21026","H2BC12,H2BC6,DEFA3,H2BC12L,NOD2,CAMP,DEFA4,LTF,RNASE2"
"GO:BP","symbiont entry into host","GO:0044409","false","0.000033779710513205565","4.471344076584315","144","844","20","21026","CTSB,ICAM1,GAS6,TRIM21,TRIM25,CLEC5A,TRIM22,CD55,CR1,CAV2,PLSCR1,ANPEP,ITGB3,ITGB5,CD209,MRC1,TRIM58,TMPRSS4,NECTIN4,NRP1"
"GO:BP","regulation of lipid transport","GO:0032368","false","0.00003562562133164769","4.448237552567913","132","844","19","21026","CETP,MAP2K6,TSPO,RETN,PLA2G4A,IL1B,ACSL1,ABCA13,PCSK9,THBS1,ITGB3,CYP19A1,PPARG,NTSR1,TREM2,CES1,ABCA12,APOE,ERFE"
"GO:BP","response to insulin","GO:0032868","false","0.00003974531714945664","4.400714033195051","270","844","29","21026","SORT1,TLR2,CTSD,GRB10,RAB13,STAT1,MAPK14,ADM,RETN,IGFBP2,CEACAM1,ECHDC3,SOCS3,TNFSF10,INHBB,IL1B,PCSK9,CAV2,FFAR3,ALPL,FUT7,TRPV4,C1QTNF12,AANAT,PPARG,IL10,COL1A1,ERFE,CELA2A"
"GO:BP","negative regulation of response to biotic stimulus","GO:0002832","false","0.00004071616690942331","4.390233113982743","121","844","18","21026","IRAK3,CD274,TRIM21,GRN,NMI,CEACAM1,SERPING1,ARG1,CR1,VSIG4,CARD16,SLAMF8,CLEC12B,SFN,HLA-G,ACOD1,PPARG,LTF"
