"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"REAC","Neutrophil degranulation","REAC:R-HSA-6798695","false","7.351640805147584e-41","40.133615720358776","476","604","114","11004","NPC2,CTSB,GNS,HP,GPR84,HPSE,FCER1G,LTA4H,TLR2,CTSA,MGST1,CTSD,CD300A,GM2A,C3AR1,CD63,SELL,PLAUR,FCGR2A,ITGAM,TCN1,ATG7,CFP,BRI3,GRN,SLC2A3,PRTN3,MMP9,FCN1,NFAM1,LILRB3,CREG1,S100A9,HK3,FPR1,CD14,TRPM2,P2RX1,FTL,CLEC5A,TYROBP,TNFAIP6,CD36,BPI,VNN1,MAPK14,ELANE,S100A12,OSCAR,CEACAM3,SERPINA1,QPCT,CD55,SIGLEC9,RETN,BST1,CEACAM1,GYG1,CHIT1,MPO,MCEMP1,TOM1,HSPA6,ARG1,DOK3,MMP25,MGAM,FCAR,S100A11,CR1,MNDA,PYGL,SERPINB1,CRISPLD2,CKAP4,SLC11A1,FPR2,CAMP,CDA,PPBP,ALOX5,AZU1,LRG1,DEFA4,ABCA13,PGLYRP1,CD177,ADGRG3,LCN2,ANPEP,MMP8,PADI2,CEACAM6,CRISP3,CLEC12A,PLAU,CLEC4D,CTSG,SLPI,TARM1,S100A8,CYSTM1,CEACAM8,LTF,FCGR3B,OLR1,SERPINB10,PRSS3,S100P,RNASE2,HRNR,FRK,SIGLEC14,PRG2"
"REAC","Extracellular matrix organization","REAC:R-HSA-1474244","false","2.7530554648581124e-13","12.56018503893752","298","604","55","11004","LOXL3,ADAMTS2,CTSB,ICAM1,CTSD,VCAN,ADAM9,ITGAM,ITGA9,PLOD1,MMP9,ITGA2B,EMILIN2,TIMP1,ELANE,LOXL1,P4HA2,CEACAM1,COL17A1,ITGA7,MMP25,MMP19,SDC3,THBS1,MMP14,HTRA1,MMP8,COL27A1,MMP2,CD151,ITGB3,CAPN13,ITGB4,ITGB5,CEACAM6,PLOD2,SPARC,SDC1,CTSG,CEACAM8,PCOLCE2,COL4A2,COL11A1,LAMA3,COL1A1,DCN,FN1,LAMA4,COL1A2,ADAMTS9,MMP1,LRP4,COL2A1,CTSV,LAMC2"
"REAC","Degradation of the extracellular matrix","REAC:R-HSA-1474228","false","0.0000020341612293930934","5.691614627489624","140","604","27","11004","CTSB,CTSD,ADAM9,MMP9,TIMP1,ELANE,COL17A1,MMP25,MMP19,MMP14,HTRA1,MMP8,MMP2,CAPN13,CTSG,COL4A2,COL11A1,LAMA3,COL1A1,DCN,FN1,COL1A2,ADAMTS9,MMP1,COL2A1,CTSV,LAMC2"
"REAC","Collagen formation","REAC:R-HSA-1474290","false","0.0000020341612293930934","5.691614627489624","89","604","21","11004","LOXL3,ADAMTS2,CTSB,PLOD1,MMP9,LOXL1,P4HA2,COL17A1,COL27A1,CD151,ITGB4,PLOD2,PCOLCE2,COL4A2,COL11A1,LAMA3,COL1A1,COL1A2,COL2A1,CTSV,LAMC2"
"REAC","Assembly of collagen fibrils and other multimeric structures","REAC:R-HSA-2022090","false","0.000016402166877260108","4.7850987738625","60","604","16","11004","LOXL3,CTSB,MMP9,LOXL1,COL17A1,COL27A1,CD151,ITGB4,COL4A2,COL11A1,LAMA3,COL1A1,COL1A2,COL2A1,CTSV,LAMC2"
"REAC","Collagen degradation","REAC:R-HSA-1442490","false","0.000038158331198916596","4.418410626812536","64","604","16","11004","CTSB,CTSD,ADAM9,MMP9,ELANE,COL17A1,MMP19,MMP14,MMP8,MMP2,COL4A2,COL11A1,COL1A1,COL1A2,MMP1,COL2A1"
"REAC","Non-integrin membrane-ECM interactions","REAC:R-HSA-3000171","false","0.00006389574085232207","4.194528089979034","59","604","15","11004","SDC3,THBS1,ITGB3,ITGB4,ITGB5,SDC1,COL4A2,COL11A1,LAMA3,COL1A1,FN1,LAMA4,COL1A2,COL2A1,LAMC2"
"REAC","Interleukin-4 and Interleukin-13 signaling","REAC:R-HSA-6785807","false","0.00028864738073743133","3.539632379050302","111","604","20","11004","ICAM1,ITGAM,MMP9,STAT1,CD36,TIMP1,BCL6,SOCS3,CEBPD,IL1B,ALOX5,LCN2,OSM,MMP2,MUC1,IL10,FN1,COL1A2,MAOA,MMP1"
"REAC","ECM proteoglycans","REAC:R-HSA-3000178","false","0.0003323734286488784","3.4783737028555155","76","604","16","11004","VCAN,ITGA9,ITGA2B,ITGA7,ITGB3,ITGB5,SPARC,COL4A2,LAMA3,COL1A1,DCN,FN1,LAMA4,COL1A2,LRP4,COL2A1"
"REAC","Antimicrobial peptides","REAC:R-HSA-6803157","false","0.0004289011972404632","3.3676427414638854","96","604","18","11004","TLR2,CLU,PRTN3,S100A9,BPI,ELANE,DEFA3,SLC11A1,CAMP,DEFA4,PGLYRP1,LCN2,CTSG,S100A8,CHGA,LTF,PRSS3,PGLYRP4"
