"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of inflammatory response","GO:0050727","false","7.804742187302413e-16","15.107641438339064","390","1336","75","21026","GBP2,AIM2,FCGR1A,CASP1,GPER1,TLR2,GRN,CD200,CASP4,GBP1,MMP9,GBA1,RHBDF2,S100A9,NT5E,LRRK2,NLRC4,GBP5,EDNRB,TNFAIP6,BCL6,MAPK14,NMI,ELANE,S100A12,NAIP,STAP1,CCR7,ALOX5AP,CST7,GBP3,TLR9,BST1,FFAR2,LILRA5,IL1R1,IFI35,SOCS3,NOD2,WFDC1,GGT1,IL1B,FPR2,CARD16,CD28,SBNO2,ALOX5,CASP5,SLAMF8,HCK,FFAR3,PLA2G2D,PGLYRP1,FUT7,TRPV4,OSM,MMP8,NLRP6,NUPR1,ADORA1,C1QTNF12,ACOD1,S100A8,CYP19A1,PPARG,DNASE1L3,GPRC5B,IL10,TREM2,SUCNR1,SNCA,APOE,TEK,IL6,CD200R1L"
"GO:BP","chemotaxis","GO:0006935","false","5.844571534754437e-14","13.233247321441821","467","1336","80","21026","DUSP3,CXCR5,CCRL2,ANOS1,FCER1G,S1PR1,PLP2,CCR6,GAS6,C3AR1,PLAUR,ITGA9,TYMP,S100A9,CCL28,FPR1,TRPM2,RAB13,EDNRB,TNFAIP6,MAPK14,ELANE,S100A12,SEMA4A,STAP1,CXCL16,CCR7,BST1,FFAR2,PLEKHG5,CCR9,NOD2,LEF1,FES,IL1B,CMTM5,FPR2,GPR183,PPBP,ALOX5,AZU1,ADGRE2,SEMA3B,THBS1,DOCK4,SLAMF8,SEMA6B,AIF1,TRPV4,PF4,NRG1,PADI2,MMP2,MMP28,ITGB3,CMTM2,PLAU,CTSG,CNR2,S100A8,NTN1,CYP19A1,PF4V1,CHGA,THBS4,IL10,CCL23,F3,TREM2,ROBO1,BMP4,SUCNR1,WNT7B,NTRK3,RNASE2,FGF8,ARTN,IL6,TUBB2B,NRP1"
"GO:BP","taxis","GO:0042330","false","7.34327024066333e-14","13.134110488969187","469","1336","80","21026","DUSP3,CXCR5,CCRL2,ANOS1,FCER1G,S1PR1,PLP2,CCR6,GAS6,C3AR1,PLAUR,ITGA9,TYMP,S100A9,CCL28,FPR1,TRPM2,RAB13,EDNRB,TNFAIP6,MAPK14,ELANE,S100A12,SEMA4A,STAP1,CXCL16,CCR7,BST1,FFAR2,PLEKHG5,CCR9,NOD2,LEF1,FES,IL1B,CMTM5,FPR2,GPR183,PPBP,ALOX5,AZU1,ADGRE2,SEMA3B,THBS1,DOCK4,SLAMF8,SEMA6B,AIF1,TRPV4,PF4,NRG1,PADI2,MMP2,MMP28,ITGB3,CMTM2,PLAU,CTSG,CNR2,S100A8,NTN1,CYP19A1,PF4V1,CHGA,THBS4,IL10,CCL23,F3,TREM2,ROBO1,BMP4,SUCNR1,WNT7B,NTRK3,RNASE2,FGF8,ARTN,IL6,TUBB2B,NRP1"
"GO:BP","myeloid leukocyte activation","GO:0002274","false","2.8398677807588635e-13","12.546701879468294","244","1336","53","21026","MILR1,FCER1G,TLR2,LTBR,CD300A,ADAM9,ITGAM,CLU,GRN,FCER2,CD200,BATF2,LRRK2,TYROBP,BPI,NMI,S100A12,STAP1,CST7,TLR9,IL18RAP,PLA2G4A,IFI35,FCAR,DYSF,C1QA,SLC11A1,VSIG4,FES,FPR2,CAMP,CAMK4,SBNO2,AZU1,ADGRE2,THBS1,ANXA3,PLSCR1,AIF1,CD177,MMP8,CLEC4D,CTSG,CNR2,DNASE1L3,CHGA,IL10,TREM2,SUCNR1,MT1G,SNCA,FN1,IL6"
"GO:BP","response to lipopolysaccharide","GO:0032496","false","4.2833320356359337e-13","12.368218258628124","339","1336","64","21026","IRAK3,GBP2,IL24,CASP1,CD274,PDCD1LG2,TLR2,ADAM9,TLR5,MMP9,S100A9,CD14,GBP5,EDNRB,CD36,BPI,MAPK14,ELANE,ADM,STAP1,CCR7,LOXL1,GBP3,CD55,TSPO,TLR9,DEFA3,MPO,FCAR,NOD2,SLC11A1,IL1B,CAMP,CARD16,SBNO2,PPBP,SELP,DEFA4,HCK,ALPL,C2,LY96,PF4,MMP8,GJB6,PTGFR,CTSG,ACOD1,SLPI,CNR2,S100A8,PF4V1,LTF,ASS1,MRC1,IL10,IL36A,TREM2,SNCA,CYP27B1,MAOB,PTGER1,IL23R,IL6"
"GO:BP","response to molecule of bacterial origin","GO:0002237","false","1.4203844115323101e-12","11.847594102649392","357","1336","65","21026","IRAK3,GBP2,IL24,CASP1,CD274,PDCD1LG2,TLR2,ADAM9,TLR5,MMP9,S100A9,CD14,GBP5,EDNRB,CD36,BPI,MAPK14,ELANE,ADM,FZD5,STAP1,CCR7,LOXL1,GBP3,CD55,TSPO,TLR9,DEFA3,MPO,FCAR,NOD2,SLC11A1,IL1B,CAMP,CARD16,SBNO2,PPBP,SELP,DEFA4,HCK,ALPL,C2,LY96,PF4,MMP8,GJB6,PTGFR,CTSG,ACOD1,SLPI,CNR2,S100A8,PF4V1,LTF,ASS1,MRC1,IL10,IL36A,TREM2,SNCA,CYP27B1,MAOB,PTGER1,IL23R,IL6"
"GO:BP","defense response to bacterium","GO:0042742","false","1.6926943510324087e-12","11.771421455147916","332","1336","62","21026","GBP2,FCGR1A,H2BC12,HP,STAB1,CASP1,FCER1G,TLR2,H2BC6,CFP,GRN,CASP4,GBP1,CLEC4E,IGHM,S100A9,EMILIN2,NLRC4,GBP5,CD36,BPI,ELANE,S100A12,NAIP,GBP3,TLR9,DEFA3,MPO,H2BC12L,NOD2,RNASE1,SLC11A1,IL7R,IL1B,FPR2,CAMP,RASGRP4,GBP6,PPBP,SELP,AZU1,DEFA4,ANXA3,SLAMF8,PGLYRP1,LCN2,GBP4,NLRP6,CLEC4D,CTSG,SLPI,S100A8,AQP1,CHGA,LTF,IL10,LPO,TREM2,PGLYRP4,IL23R,IL6,PRG2"
"GO:BP","humoral immune response","GO:0006959","false","1.8337373862091547e-12","11.736662860534402","281","1336","56","21026","FCMR,H2BC12,H2BC6,CCR6,BLNK,GAPDH,CLU,CFP,PRTN3,MS4A1,FCER2,FCN1,IGHM,S100A9,CR2,ELANE,S100A12,CCR7,CD55,BST1,DEFA3,H2BC12L,SERPING1,CR1,NOD2,C1QA,SLC11A1,VSIG4,IL1B,CAMP,GPR183,CD28,PPBP,ALOX5,AZU1,C1R,DEFA4,C2,PGLYRP1,PF4,FOXJ1,CFB,CTSG,ACOD1,SLPI,CR1L,PF4V1,LTF,CD5L,CCL23,PRSS3,C1QC,TREM2,PGLYRP4,GATA6,IL6"
"GO:BP","immune response-regulating cell surface receptor signaling pathway","GO:0002768","false","5.353683878191226e-12","11.271347276408406","341","1336","62","21026","DUSP3,BLK,CD79A,FCMR,CD19,FCGR1A,CD22,FCER1G,TLR2,CD79B,BANK1,CD300A,BLNK,C3AR1,FCGR2A,ITGAM,TLR5,FCRL3,ICOSLG,BMX,MS4A1,CD72,FCER2,GBP1,FCN1,LIMK1,NFAM1,CLEC4E,IGHM,FPR1,CD14,CR2,TYROBP,BTNL9,NMI,OSCAR,STAP1,CCR7,CEACAM1,FFAR2,IFI35,FCAR,CR1,MNDA,NOD2,BTLA,FPR2,GCSAM,CD28,HCK,PLSCR1,LY96,CLEC6A,CLEC12B,PAWR,HLA-G,CLEC4D,ACOD1,LTF,FCGR3B,TREM2,ZNF683"
"GO:BP","leukocyte migration","GO:0050900","false","1.1690550340979666e-11","10.932165043635015","402","1336","68","21026","CXCR5,FCER1G,ICAM1,CD300A,S1PR1,CCR6,GAS6,C3AR1,SELL,ITGA9,PRTN3,CD200,GBA1,S100A9,ITGA2B,CCL28,TRPM2,EDNRB,TNFAIP6,ELANE,S100A12,ADD2,STAP1,CXCL16,CCR7,BST1,FFAR2,ITGA7,IL1R1,NOD2,IL1B,FPR2,GCSAM,GPR183,PPBP,ALOX5,SELP,AZU1,ADGRE2,THBS1,MMP14,SLAMF8,HCK,ST3GAL4,AIF1,CD177,FUT7,TRPV4,PF4,PADI2,MMP2,MMP28,ITGB3,FOXJ1,ADORA1,DBH,CTSG,CNR2,S100A8,CYP19A1,PF4V1,CHGA,THBS4,IL10,CCL23,TREM2,ARTN,IL6"
