"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","B cell receptor signaling pathway","GO:0050853","true","0.0000010018225840181715","5.999209182265273","72","492","14","21026","BLK,CD79A,FCMR,CD19,CD22,CD79B,BANK1,BLNK,FCRL3,MS4A1,CD72,IGHM,STAP1,GCSAM"
"GO:BP","B cell activation","GO:0042113","false","0.0000010018225840181715","5.999209182265273","286","492","27","21026","TNFRSF13C,CD79A,CXCR5,CD19,CD22,PAX5,CD79B,FCRL1,BANK1,CCR6,CD40LG,BLNK,FCRL3,ICOSLG,MS4A1,IGHM,CR2,TPD52,FCRL5,LEF1,TNFRSF13B,IL7R,GPR183,CD28,PAWR,FOXJ1,IL6"
"GO:BP","antigen receptor-mediated signaling pathway","GO:0050851","false","0.00001684469691798761","4.773536798754081","195","492","20","21026","BLK,CD79A,FCMR,CD19,CD22,CD79B,BANK1,BLNK,FCRL3,ICOSLG,MS4A1,CD72,IGHM,BTNL9,STAP1,CCR7,GCSAM,CD28,PAWR,ZNF683"
"GO:BP","lymphocyte differentiation","GO:0030098","false","0.00007202682612958979","4.142505722038172","442","492","30","21026","CD79A,CD19,PAX5,CD79B,CCR6,CD40LG,BLNK,FCRL3,MS4A1,DTX1,IGHM,CR2,TPD52,BCL11B,TCF7,CCR7,HLA-DOA,CCR9,LEF1,IL7R,GPR183,CAMK4,CD28,PLA2G2D,FOXJ1,USP44,BMP4,ZNF683,IL23R,IL6"
"GO:BP","regulation of B cell receptor signaling pathway","GO:0050855","false","0.00011573853368220252","3.93652202411315","22","492","7","21026","FCMR,CD19,CD22,FCRL3,CD72,STAP1,GCSAM"
"GO:BP","B cell proliferation","GO:0042100","false","0.00029629931825402955","3.5282693477735894","107","492","13","21026","TNFRSF13C,CD79A,CD19,CD22,CD40LG,FCRL3,MS4A1,CR2,LEF1,TNFRSF13B,IL7R,GPR183,PAWR"
"GO:BP","immune response-regulating cell surface receptor signaling pathway","GO:0002768","false","0.0010299236733497732","2.9871949592475247","341","492","23","21026","BLK,CD79A,FCMR,CD19,CD22,CD79B,BANK1,BLNK,FCRL3,ICOSLG,MS4A1,CD72,FCER2,IGHM,CR2,BTNL9,STAP1,CCR7,BTLA,GCSAM,CD28,PAWR,ZNF683"
"GO:BP","immune response-activating cell surface receptor signaling pathway","GO:0002429","false","0.0019843661048118614","2.7023781998070335","310","492","21","21026","BLK,CD79A,FCMR,CD19,CD22,CD79B,BANK1,BLNK,FCRL3,ICOSLG,MS4A1,CD72,IGHM,CR2,BTNL9,STAP1,CCR7,GCSAM,CD28,PAWR,ZNF683"
"GO:BP","regulation of antigen receptor-mediated signaling pathway","GO:0050854","false","0.003035668837794791","2.5177456075337523","67","492","9","21026","FCMR,CD19,CD22,FCRL3,CD72,STAP1,CCR7,GCSAM,PAWR"
"GO:BP","glycosphingolipid biosynthetic process","GO:0006688","false","0.0034091165076911294","2.4673581563590425","39","492","7","21026","LARGE1,UGT8,ST8SIA1,B3GALT2,GAL3ST1,FUT2,FA2H"
"GO:BP","epithelial cell proliferation","GO:0050673","false","0.005119253177752847","2.290793391453462","441","492","25","21026","WNT7A,LAMA5,WNT16,NOG,KDF1,BCL11B,PTPRK,COL4A3,ST8SIA1,DBH,FLT4,THBS4,FUT2,FGF9,KRT2,FA2H,ROBO1,BMP4,RASGRF1,TEK,SDR16C5,GATA6,LGR4,NKX3-1,IL6"
"GO:BP","lymphocyte proliferation","GO:0046651","false","0.0051265615365895","2.290173825212743","311","492","20","21026","TNFRSF13C,CD79A,CD19,CD22,CD40LG,FCRL3,ICOSLG,MS4A1,CR2,LEF1,TNFRSF13B,IL7R,GPR183,CD28,PLA2G2D,PAWR,FOXJ1,BMP4,IL23R,IL6"
"GO:BP","mononuclear cell proliferation","GO:0032943","false","0.00669518314486307","2.174237538485351","319","492","20","21026","TNFRSF13C,CD79A,CD19,CD22,CD40LG,FCRL3,ICOSLG,MS4A1,CR2,LEF1,TNFRSF13B,IL7R,GPR183,CD28,PLA2G2D,PAWR,FOXJ1,BMP4,IL23R,IL6"
"GO:BP","branching morphogenesis of an epithelial tube","GO:0048754","false","0.008089521635863161","2.092077159110521","157","492","13","21026","CELSR1,LAMA5,NOG,GDF7,LEF1,SOX8,SPRY1,DCHS1,NFATC4,BMP4,HS3ST3A1,LGR4,NKX3-1"
"GO:BP","B cell differentiation","GO:0030183","false","0.008298725827654875","2.0809885833465467","158","492","13","21026","CD79A,CD19,PAX5,CD79B,CD40LG,BLNK,FCRL3,MS4A1,IGHM,CR2,TPD52,GPR183,IL6"
"GO:BP","cognition","GO:0050890","true","0.009053623184525893","2.0431775849773492","328","492","20","21026","CNTNAP2,NOG,LARGE1,CAMK4,SOBP,GATM,ADORA1,NDRG4,DBH,NFATC4,CHL1,JPH3,FOXO6,ASIC1,RASGRF1,TNR,KCNK10,NPTX2,TUSC3,FOXB1"
"GO:BP","morphogenesis of a branching structure","GO:0001763","false","0.009515523891568326","2.021567295978768","206","492","15","21026","CELSR1,BCL11A,LAMA5,NOG,GDF7,LEF1,SOX8,SPRY1,DCHS1,NFATC4,BMP4,COL13A1,HS3ST3A1,LGR4,NKX3-1"
"GO:BP","kidney morphogenesis","GO:0060993","false","0.009988873585452479","2.0004834830656923","100","492","10","21026","LAMA5,NOG,SOX8,DCHS1,FOXJ1,GCNT4,BMP4,WNT7B,HS3ST3A1,LGR4"
"GO:BP","canonical Wnt signaling pathway","GO:0060070","true","0.011952666798905564","1.9225351870307237","311","492","19","21026","WNT7A,TLE2,AXIN2,WNT16,NOG,TCF7,WNT10A,LEF1,ZNRF3,SFRP5,DKK3,GPRC5B,FGF9,WNT7B,TLE6,SHISA3,SOX7,RBMS3,LGR4"
"GO:BP","T cell differentiation","GO:0030217","false","0.015484762618540442","1.8100954479919344","319","492","19","21026","CCR6,DTX1,BCL11B,TCF7,CCR7,HLA-DOA,CCR9,LEF1,IL7R,GPR183,CAMK4,CD28,PLA2G2D,FOXJ1,USP44,BMP4,ZNF683,IL23R,IL6"
"GO:BP","leukocyte proliferation","GO:0070661","false","0.02044079758602585","1.689502162331264","355","492","20","21026","TNFRSF13C,CD79A,CD19,CD22,CD40LG,FCRL3,ICOSLG,MS4A1,CR2,LEF1,TNFRSF13B,IL7R,GPR183,CD28,PLA2G2D,PAWR,FOXJ1,BMP4,IL23R,IL6"
"GO:BP","regulation of B cell activation","GO:0050864","false","0.020758844826294438","1.6827968174673384","133","492","11","21026","TNFRSF13C,CD19,CD22,BANK1,FCRL3,TNFRSF13B,GPR183,CD28,PAWR,FOXJ1,IL6"
"GO:BP","respiratory tube development","GO:0030323","false","0.020843778343640866","1.681023553843671","202","492","14","21026","CELSR1,TRAF4,LAMA5,NOG,DPPA4,SPRY1,FOXJ1,FLT4,CCN2,FGF9,BMP4,ACVR2B,WNT7B,GATA6"
"GO:BP","nephron development","GO:0072006","false","0.025048653984909318","1.601215606428764","160","492","12","21026","LAMA5,NOG,SOX8,COL4A3,COL4A4,DCHS1,FOXJ1,BMP4,WNT7B,HS3ST3A1,TEK,LGR4"
"GO:BP","osteoblast differentiation","GO:0001649","false","0.026733018318244685","1.572952004021064","234","492","15","21026","ID3,AXIN2,NOG,LEF1,SOX8,BMP3,GDF10,FGF9,BMP4,ACVR2B,WNT7B,CYP24A1,SMOC1,LGR4,IL6"
"GO:BP","positive regulation of JNK cascade","GO:0046330","true","0.027349073703510786","1.5630573783713686","97","492","9","21026","TRAF4,WNT7A,WNT16,CCR7,EDAR,FLT4,TNFRSF19,CCN2,WNT7B"
"GO:BP","morphogenesis of a branching epithelium","GO:0061138","false","0.031101814508646523","1.5072142730919769","189","492","13","21026","CELSR1,LAMA5,NOG,GDF7,LEF1,SOX8,SPRY1,DCHS1,NFATC4,BMP4,HS3ST3A1,LGR4,NKX3-1"
"GO:BP","glycosylceramide metabolic process","GO:0006677","false","0.03111069735070407","1.5070902540096371","17","492","4","21026","UGT8,B3GALT2,GAL3ST1,FA2H"
"GO:BP","branching involved in ureteric bud morphogenesis","GO:0001658","true","0.0331008321705645","1.4801610877185063","62","492","7","21026","LAMA5,NOG,SOX8,DCHS1,BMP4,HS3ST3A1,LGR4"
"GO:BP","ureteric bud development","GO:0001657","false","0.03339082512340798","1.4763728489266004","101","492","9","21026","LAMA5,NOG,SOX8,SPRY1,DCHS1,FOXJ1,BMP4,HS3ST3A1,LGR4"
"GO:BP","kidney development","GO:0001822","false","0.03413927800127995","1.4667456678544344","322","492","18","21026","ID3,LAMA5,NOG,EPHA4,SOX8,COL4A3,SPRY1,COL4A4,DCHS1,FOXJ1,GCNT4,BMP4,ACVR2B,WNT7B,HS3ST3A1,TEK,LGR4,NKX3-1"
"GO:BP","mesonephric tubule development","GO:0072164","false","0.03466971996335073","1.4600496662427287","102","492","9","21026","LAMA5,NOG,SOX8,SPRY1,DCHS1,FOXJ1,BMP4,HS3ST3A1,LGR4"
"GO:BP","mesonephric epithelium development","GO:0072163","false","0.03466971996335073","1.4600496662427287","102","492","9","21026","LAMA5,NOG,SOX8,SPRY1,DCHS1,FOXJ1,BMP4,HS3ST3A1,LGR4"
"GO:BP","metanephros morphogenesis","GO:0003338","false","0.03707288661803746","1.4309435970436117","31","492","5","21026","SOX8,FOXJ1,BMP4,WNT7B,LGR4"
"GO:BP","negative regulation of Wnt signaling pathway","GO:0030178","true","0.03942580420969385","1.4042194391462972","172","492","12","21026","TLE2,AXIN2,NOG,TRABD2A,ZNRF3,SFRP5,NFATC4,DKK3,FGF9,TLE6,SHISA3,RBMS3"
"GO:BP","glycosphingolipid metabolic process","GO:0006687","false","0.03990074583572058","1.3990189862854197","65","492","7","21026","LARGE1,UGT8,ST8SIA1,B3GALT2,GAL3ST1,FUT2,FA2H"
"GO:BP","lung development","GO:0030324","false","0.040355542738441705","1.394096807524265","198","492","13","21026","CELSR1,LAMA5,NOG,DPPA4,SPRY1,FOXJ1,FLT4,CCN2,FGF9,BMP4,ACVR2B,WNT7B,GATA6"
"GO:BP","mesonephros development","GO:0001823","false","0.040355542738441705","1.394096807524265","106","492","9","21026","LAMA5,NOG,SOX8,SPRY1,DCHS1,FOXJ1,BMP4,HS3ST3A1,LGR4"
"GO:BP","regulation of epithelial to mesenchymal transition","GO:0010717","true","0.040355542738441705","1.394096807524265","106","492","9","21026","AXIN2,NOG,EPHA4,LEF1,SPRY1,CRB2,BMP4,ELL3,IL6"
"GO:BP","renal system development","GO:0072001","false","0.041010251214389795","1.3871075703689624","332","492","18","21026","ID3,LAMA5,NOG,EPHA4,SOX8,COL4A3,SPRY1,COL4A4,DCHS1,FOXJ1,GCNT4,BMP4,ACVR2B,WNT7B,HS3ST3A1,TEK,LGR4,NKX3-1"
"GO:BP","respiratory system development","GO:0060541","false","0.041010251214389795","1.3871075703689624","225","492","14","21026","CELSR1,LAMA5,NOG,DPPA4,LEF1,SPRY1,FOXJ1,FLT4,CCN2,FGF9,BMP4,ACVR2B,WNT7B,GATA6"
"GO:BP","kidney epithelium development","GO:0072073","false","0.04494208484640539","1.3473467846919744","154","492","11","21026","LAMA5,NOG,EPHA4,SOX8,SPRY1,DCHS1,FOXJ1,BMP4,WNT7B,HS3ST3A1,LGR4"
"GO:BP","regulation of epithelial cell proliferation","GO:0050678","false","0.04494208484640539","1.3473467846919744","364","492","19","21026","WNT7A,LAMA5,NOG,KDF1,BCL11B,PTPRK,COL4A3,ST8SIA1,DBH,FLT4,THBS4,FUT2,FGF9,FA2H,ROBO1,BMP4,TEK,GATA6,NKX3-1"
