"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"REAC","Neutrophil degranulation","REAC:R-HSA-6798695","false","1.444454106607678e-25","24.84029625206393","476","863","114","11004","NPC2,CTSB,GNS,HP,GPR84,HPSE,FCER1G,LTA4H,TLR2,CTSA,MGST1,CTSD,CD300A,GM2A,C3AR1,CD63,SELL,PLAUR,FCGR2A,ITGAM,TCN1,ATG7,CFP,BRI3,GRN,SLC2A3,PRTN3,MMP9,FCN1,NFAM1,LILRB3,CREG1,S100A9,HK3,FPR1,CD14,TRPM2,P2RX1,FTL,CLEC5A,TYROBP,TNFAIP6,CD36,BPI,VNN1,MAPK14,ELANE,S100A12,OSCAR,CEACAM3,SERPINA1,QPCT,CD55,SIGLEC9,RETN,BST1,CEACAM1,GYG1,CHIT1,MPO,MCEMP1,TOM1,HSPA6,ARG1,DOK3,MMP25,MGAM,FCAR,S100A11,CR1,MNDA,PYGL,SERPINB1,CRISPLD2,CKAP4,SLC11A1,FPR2,CAMP,CDA,PPBP,ALOX5,AZU1,LRG1,DEFA4,ABCA13,PGLYRP1,CD177,ADGRG3,LCN2,ANPEP,MMP8,PADI2,CEACAM6,CRISP3,CLEC12A,PLAU,CLEC4D,CTSG,SLPI,TARM1,S100A8,CYSTM1,CEACAM8,LTF,FCGR3B,OLR1,SERPINB10,PRSS3,S100P,RNASE2,HRNR,FRK,SIGLEC14,PRG2"
"REAC","Extracellular matrix organization","REAC:R-HSA-1474244","false","5.591139228705349e-12","11.252499692948698","298","863","65","11004","LOXL3,ADAMTS2,CTSB,MMP11,ICAM1,CTSD,VCAN,ADAM9,ITGAM,ITGA9,PLOD1,LAMA5,MMP9,ITGA2B,EMILIN2,TIMP1,ELANE,LOXL1,P4HA2,CEACAM1,COL17A1,ITGA7,MMP25,MMP19,SDC3,COL4A3,THBS1,MMP14,HTRA1,COL19A1,FBLN2,MMP8,COL27A1,MMP2,CD151,ITGB3,CAPN13,COL4A4,ITGB4,ITGB5,CEACAM6,PLOD2,SPARC,SDC1,CTSG,CEACAM8,COL5A3,BMP4,PCOLCE2,COL4A2,COL11A1,TNR,LAMA3,COL1A1,DCN,COL13A1,FN1,LAMA4,COL1A2,ADAMTS9,MMP1,LRP4,COL2A1,CTSV,LAMC2"
"REAC","Collagen degradation","REAC:R-HSA-1442490","false","3.700429668545463e-7","6.431747845704786","64","863","22","11004","CTSB,MMP11,CTSD,ADAM9,MMP9,ELANE,COL17A1,MMP19,COL4A3,MMP14,COL19A1,MMP8,MMP2,COL4A4,COL5A3,COL4A2,COL11A1,COL1A1,COL13A1,COL1A2,MMP1,COL2A1"
"REAC","Degradation of the extracellular matrix","REAC:R-HSA-1474228","false","4.3113883249399113e-7","6.3653828586623815","140","863","34","11004","CTSB,MMP11,CTSD,ADAM9,LAMA5,MMP9,TIMP1,ELANE,COL17A1,MMP25,MMP19,COL4A3,MMP14,HTRA1,COL19A1,MMP8,MMP2,CAPN13,COL4A4,CTSG,COL5A3,COL4A2,COL11A1,LAMA3,COL1A1,DCN,COL13A1,FN1,COL1A2,ADAMTS9,MMP1,COL2A1,CTSV,LAMC2"
"REAC","Collagen formation","REAC:R-HSA-1474290","false","4.644114888951055e-7","6.333097044958379","89","863","26","11004","LOXL3,ADAMTS2,CTSB,PLOD1,MMP9,LOXL1,P4HA2,COL17A1,COL4A3,COL19A1,COL27A1,CD151,COL4A4,ITGB4,PLOD2,COL5A3,PCOLCE2,COL4A2,COL11A1,LAMA3,COL1A1,COL13A1,COL1A2,COL2A1,CTSV,LAMC2"
"REAC","Non-integrin membrane-ECM interactions","REAC:R-HSA-3000171","false","0.000010505226611703003","4.978594574847685","59","863","19","11004","LAMA5,SDC3,COL4A3,THBS1,ITGB3,COL4A4,ITGB4,ITGB5,SDC1,COL5A3,COL4A2,COL11A1,LAMA3,COL1A1,FN1,LAMA4,COL1A2,COL2A1,LAMC2"
"REAC","Assembly of collagen fibrils and other multimeric structures","REAC:R-HSA-2022090","false","0.000012673576359560105","4.897100814157312","60","863","19","11004","LOXL3,CTSB,MMP9,LOXL1,COL17A1,COL4A3,COL27A1,CD151,COL4A4,ITGB4,COL5A3,COL4A2,COL11A1,LAMA3,COL1A1,COL1A2,COL2A1,CTSV,LAMC2"
"REAC","ECM proteoglycans","REAC:R-HSA-3000178","false","0.000032820744285391","4.483851574551263","76","863","21","11004","VCAN,ITGA9,LAMA5,ITGA2B,ITGA7,COL4A3,ITGB3,COL4A4,ITGB5,SPARC,COL5A3,COL4A2,TNR,LAMA3,COL1A1,DCN,FN1,LAMA4,COL1A2,LRP4,COL2A1"
"REAC","Interleukin-4 and Interleukin-13 signaling","REAC:R-HSA-6785807","false","0.00015419290200963774","3.811935617783098","111","863","25","11004","ICAM1,S1PR1,ITGAM,FCER2,LAMA5,MMP9,STAT1,CD36,TIMP1,BCL6,SOCS3,CEBPD,IL1B,ALOX5,LCN2,OSM,MMP2,MUC1,IL10,FN1,COL1A2,MAOA,MMP1,IL23R,IL6"
"REAC","MET activates PTK2 signaling","REAC:R-HSA-8874081","false","0.0011062532750447229","2.956145430570506","30","863","11","11004","LAMA5,COL27A1,COL5A3,COL11A1,LAMA3,COL1A1,FN1,LAMA4,COL1A2,COL2A1,LAMC2"
